id,code,billing_name,billing_address,billing_type,billing_entity_id,billing_entity_name,billing_entity_role,billing_entity_role_name,billing_entity_json,,,,,,,,,,,,,,,,,,,,
20653,F-2202-00172LBH-L,3H DECOR PTE LTD,"208 WOODLANDS INDUSTRIAL PARK E9 , Wave 9 Singapore 757881",form_selected,26264,TenantEntity,landlord,Landlord,"{""name"": ""3H DECOR PTE LTD"", ""refId"": 26264, ""address"": ""208 WOODLANDS INDUSTRIAL PARK E9 , Wave 9 Singapore 757881"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""208 WOODLANDS INDUSTRIAL PARK E9 , Wave 9 Singapore 757881"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""757881"", ""streetName"": ""WOODLANDS INDUSTRIAL PARK E9 , Wave 9"", ""unitNumber"": """", ""addressLine"": ""208 WOODLANDS INDUSTRIAL PARK E9 , Wave 9 Singapore 757881"", ""blockNumber"": ""208"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
20748,F-2506-00822FFL-S,3L REALTORS PTE LTD,SINGAPORE,external_cobroke,7192,ExternalCobrokeAgentEntity,ExternalCobrokeAgentEntity,case_submission.billing_party_role.ExternalCobrokeAgentEntity,"{""name"": ""3L REALTORS PTE LTD"", ""email"": "" "", ""refId"": 7192, ""address"": ""SINGAPORE"", ""refName"": ""ExternalCobrokeAgentEntity"", ""addressObj"": {""country"": ""SINGAPORE"", ""countryCode"": ""SG""}, ""agentProfile"": {""entityRefCode"": ""FFL"", ""estateAgentName"": ""3L REALTORS PTE LTD"", ""salespersonName"": ""3L REALTORS PTE LTD"", ""registrationNumber"": """"}}",,,,,,,,,,,,,,,,,,,,
21453,F-2105-00180NT-L,3L REALTORS PTE LTD,SINGAPORE,external_cobroke,7192,ExternalCobrokeAgentEntity,ExternalCobrokeAgentEntity,case_submission.billing_party_role.ExternalCobrokeAgentEntity,"{""name"": ""3L REALTORS PTE LTD"", ""email"": "" "", ""refId"": 7192, ""address"": ""SINGAPORE"", ""refName"": ""ExternalCobrokeAgentEntity"", ""addressObj"": {""country"": ""SINGAPORE"", ""countryCode"": ""SG""}, ""agentProfile"": {""entityRefCode"": ""FFL"", ""estateAgentName"": ""3L REALTORS PTE LTD"", ""salespersonName"": ""3L REALTORS PTE LTD"", ""registrationNumber"": """"}}",,,,,,,,,,,,,,,,,,,,
22809,F-2310-00816KKT-S,3L REALTORS PTE LTD,SINGAPORE,external_cobroke,7192,ExternalCobrokeAgentEntity,ExternalCobrokeAgentEntity,case_submission.billing_party_role.ExternalCobrokeAgentEntity,"{""name"": ""3L REALTORS PTE LTD"", ""email"": "" "", ""refId"": 7192, ""address"": ""SINGAPORE"", ""refName"": ""ExternalCobrokeAgentEntity"", ""addressObj"": {""country"": ""SINGAPORE"", ""countryCode"": ""SG""}, ""agentProfile"": {""entityRefCode"": ""FFL"", ""estateAgentName"": ""3L REALTORS PTE LTD"", ""salespersonName"": ""3L REALTORS PTE LTD"", ""registrationNumber"": """"}}",,,,,,,,,,,,,,,,,,,,
21328,F-2412-01421LOMY-L,3LINK ELECTRONICS PTE LTD,"3 SOON LEE STREET  #05-37, PIONEER JUNCTION Singapore 627606",form_selected,27020,TenantEntity,landlord,Landlord,"{""name"": ""3LINK ELECTRONICS PTE LTD"", ""refId"": 27020, ""address"": ""3 SOON LEE STREET  #05-37, PIONEER JUNCTION Singapore 627606"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""3 SOON LEE STREET  #05-37, PIONEER JUNCTION Singapore 627606"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""627606"", ""streetName"": ""SOON LEE STREET"", ""unitNumber"": ""#05-37"", ""addressLine"": ""3 SOON LEE STREET  #05-37, PIONEER JUNCTION Singapore 627606"", ""blockNumber"": ""3"", ""floorNumber"": """", ""buildingName"": ""PIONEER JUNCTION""}}",,,,,,,,,,,,,,,,,,,,
23137,F-2504-0062219-S,3NC (S'PORE) PTE LTD,16 Tuas Ave 11  Singapore 639082,form_selected,25007,TenantEntity,seller,Seller,"{""name"": ""3NC (S'PORE) PTE LTD"", ""refId"": 25007, ""address"": ""16 Tuas Ave 11  Singapore 639082"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""16 Tuas Ave 11  Singapore 639082"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""639082"", ""streetName"": ""Tuas Ave 11"", ""unitNumber"": """", ""addressLine"": ""16 Tuas Ave 11  Singapore 639082"", ""blockNumber"": ""16"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
19535,F-2412-01491CYW-L,3TOUCH ENGINEERING,"10 BUROH STREET  #08-32, West Connect Building Singapore 627564",form_selected,25408,TenantEntity,landlord,Landlord,"{""name"": ""3TOUCH ENGINEERING"", ""refId"": 25408, ""address"": ""10 BUROH STREET  #08-32, West Connect Building Singapore 627564"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""10 BUROH STREET  #08-32, West Connect Building Singapore 627564"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""627564"", ""streetName"": ""BUROH STREET"", ""unitNumber"": ""#08-32"", ""addressLine"": ""10 BUROH STREET  #08-32, West Connect Building Singapore 627564"", ""blockNumber"": ""10"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
22688,F-2406-00691LGC-L,3V CREATION PRE LTD,"55 SERANGOON NORTH AVENUE 4  #02-04, S9 Singapore 555859",form_selected,26660,TenantEntity,landlord,Landlord,"{""name"": ""3V CREATION PRE LTD"", ""refId"": 26660, ""address"": ""55 SERANGOON NORTH AVENUE 4  #02-04, S9 Singapore 555859"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""55 SERANGOON NORTH AVENUE 4  #02-04, S9 Singapore 555859"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""555859"", ""streetName"": ""SERANGOON NORTH AVENUE 4"", ""unitNumber"": ""#02-04"", ""addressLine"": ""55 SERANGOON NORTH AVENUE 4  #02-04, S9 Singapore 555859"", ""blockNumber"": ""55"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
19148,F-2410-01255ZHT-L,3Y PTE. LTD.,"71 WOODLANDS INDUSTRIAL PARK E9  #03-11, WAVE 9 Singapore 757048",form_selected,30949,TenantEntity,landlord,Landlord,"{""name"": ""3Y PTE. LTD."", ""refId"": 30949, ""address"": ""71 WOODLANDS INDUSTRIAL PARK E9  #03-11, WAVE 9 Singapore 757048"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""71 WOODLANDS INDUSTRIAL PARK E9  #03-11, WAVE 9 Singapore 757048"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""757048"", ""streetName"": ""WOODLANDS INDUSTRIAL PARK E9"", ""unitNumber"": ""#03-11"", ""addressLine"": ""71 WOODLANDS INDUSTRIAL PARK E9  #03-11, WAVE 9 Singapore 757048"", ""blockNumber"": ""71"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
21028,F-2409-01054CHK-L,5S HOLDINGS PTE LTD,"54 HUME AVENUE  #06-02, SUMMERHILL Singapore 596231",form_selected,24954,TenantEntity,landlord,Landlord,"{""name"": ""5S HOLDINGS PTE LTD"", ""refId"": 24954, ""address"": ""54 HUME AVENUE  #06-02, SUMMERHILL Singapore 596231"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""54 HUME AVENUE  #06-02, SUMMERHILL Singapore 596231"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""596231"", ""streetName"": ""HUME AVENUE"", ""unitNumber"": ""#06-02"", ""addressLine"": ""54 HUME AVENUE  #06-02, SUMMERHILL Singapore 596231"", ""blockNumber"": ""54"", ""floorNumber"": """", ""buildingName"": ""SUMMERHILL""}}",,,,,,,,,,,,,,,,,,,,
